Song,Artist,Album,Energy,Happy
All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,Taylor Swift,All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios,29,19
Message In A Bottle (Fat Max G Remix) (Taylor's Version),"Taylor Swift,Fat Max Gsus",Message In A Bottle (Fat Max G Remix) (Taylor's Version),73,34
All Too Well (10 Minute Version) (The Short Film),Taylor Swift,All Too Well (10 Minute Version) (The Short Film),52,19
Welcome To New York,Taylor Swift,1989,63,62
Blank Space,Taylor Swift,1989,68,58
Style,Taylor Swift,1989,79,46
Out Of The Woods,Taylor Swift,1989,84,34
All You Had To Do Was Stay,Taylor Swift,1989,74,47
Shake It Off,Taylor Swift,1989,79,94
I Wish You Would,Taylor Swift,1989,90,50
Bad Blood,Taylor Swift,1989,80,30
Wildest Dreams (Taylor's Version),Taylor Swift,Wildest Dreams (Taylor's Version),67,50
How You Get The Girl,Taylor Swift,1989,66,52
This Love (Taylor's Version),Taylor Swift,This Love (Taylor's Version),49,5
I Know Places,Taylor Swift,1989,76,51
Clean,Taylor Swift,1989,38,22
Wonderland,Taylor Swift,1989 (Deluxe Edition),69,20
You Are In Love,Taylor Swift,1989 (Deluxe Edition),48,32
New Romantics,Taylor Swift,1989 (Deluxe Edition),89,58
Bad Blood,"Taylor Swift,Kendrick Lamar",Bad Blood,66,22
I Don't Wanna Live Forever (Fifty Shades Darker),"ZAYN,Taylor Swift",Fifty Shades Darker (Original Motion Picture Soundtrack),44,10
...Ready For It?,Taylor Swift,reputation,76,42
End Game,"Taylor Swift,Ed Sheeran,Future",reputation,59,15
I Did Something Bad,Taylor Swift,reputation,60,31
Don't Blame Me,Taylor Swift,reputation,53,19
Delicate,Taylor Swift,reputation,40,5
Look What You Made Me Do,Taylor Swift,reputation,71,51
So It Goes...,Taylor Swift,reputation,61,37
Gorgeous,Taylor Swift,reputation,54,45
Dayglo Reflection,"Bobby Womack,Lana Del Rey",The Bravest Man in the Universe,65,60
I Can Fly,Lana Del Rey,Big Eyes: Music From The Original Motion Picture,47,21
Big Eyes,Lana Del Rey,Big Eyes: Music From The Original Motion Picture,32,7
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,35,17
Hollywood Bowl,"Rob Grant,Lana Del Rey",Hollywood Bowl,23,40
Lost at Sea,"Rob Grant,Lana Del Rey",Lost At Sea,19,11
